SITE_ID,DESCRIPTION,MONTHS,YEARS,HOURS,SATURDAY,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
9,"Gateway Motorway South, Murarrie",January  ,2020,0,1,1,0,1,0,1,1
9,"Gateway Motorway South, Murarrie",January  ,2020,1,1,1,0,0,0,0,0
9,"Gateway Motorway South, Murarrie",January  ,2020,2,0,0,2,1,1,1,1
9,"Gateway Motorway South, Murarrie",January  ,2020,3,0,0,0,0,0,0,0
9,"Gateway Motorway South, Murarrie",January  ,2020,4,0,0,0,0,0,0,2
9,"Gateway Motorway South, Murarrie",January  ,2020,5,2,3,2,7,2,3,8
9,"Gateway Motorway South, Murarrie",January  ,2020,6,22,36,24,56,43,42,64
9,"Gateway Motorway South, Murarrie",January  ,2020,7,60,93,40,50,48,41,32
9,"Gateway Motorway South, Murarrie",January  ,2020,8,41,44,41,31,43,28,29
9,"Gateway Motorway South, Murarrie",January  ,2020,9,33,45,14,16,13,14,12
9,"Gateway Motorway South, Murarrie",January  ,2020,10,25,48,12,13,8,7,7
9,"Gateway Motorway South, Murarrie",January  ,2020,11,10,23,7,3,8,11,5
9,"Gateway Motorway South, Murarrie",January  ,2020,12,5,9,5,2,8,3,4
9,"Gateway Motorway South, Murarrie",January  ,2020,13,5,10,6,3,2,2,2
9,"Gateway Motorway South, Murarrie",January  ,2020,14,4,6,3,2,2,2,2
9,"Gateway Motorway South, Murarrie",January  ,2020,15,9,6,4,6,4,5,6
9,"Gateway Motorway South, Murarrie",January  ,2020,16,3,9,10,11,12,11,11
9,"Gateway Motorway South, Murarrie",January  ,2020,17,5,8,21,22,22,28,19
9,"Gateway Motorway South, Murarrie",January  ,2020,18,5,7,25,30,32,36,19
9,"Gateway Motorway South, Murarrie",January  ,2020,19,3,3,7,11,16,14,9
9,"Gateway Motorway South, Murarrie",January  ,2020,20,2,3,1,4,10,6,3
9,"Gateway Motorway South, Murarrie",January  ,2020,21,0,3,1,2,0,1,1
9,"Gateway Motorway South, Murarrie",January  ,2020,22,0,1,1,1,7,0,0
9,"Gateway Motorway South, Murarrie",January  ,2020,23,1,1,2,2,2,0,0
9,"Gateway Motorway South, Murarrie",February ,2020,0,1,2,0,1,0,1,1
9,"Gateway Motorway South, Murarrie",February ,2020,1,0,0,0,0,0,0,0
9,"Gateway Motorway South, Murarrie",February ,2020,2,0,0,0,0,3,0,0
9,"Gateway Motorway South, Murarrie",February ,2020,3,0,1,0,0,2,0,0
9,"Gateway Motorway South, Murarrie",February ,2020,4,1,1,0,1,1,0,0
9,"Gateway Motorway South, Murarrie",February ,2020,5,4,6,6,2,1,0,1
9,"Gateway Motorway South, Murarrie",February ,2020,6,38,52,31,36,26,5,7
9,"Gateway Motorway South, Murarrie",February ,2020,7,81,120,21,40,27,2,12
9,"Gateway Motorway South, Murarrie",February ,2020,8,57,97,34,30,16,4,16
9,"Gateway Motorway South, Murarrie",February ,2020,9,58,64,9,13,8,2,11
9,"Gateway Motorway South, Murarrie",February ,2020,10,33,39,11,8,3,2,5
9,"Gateway Motorway South, Murarrie",February ,2020,11,17,18,5,3,2,4,4
9,"Gateway Motorway South, Murarrie",February ,2020,12,9,13,3,5,1,2,4
9,"Gateway Motorway South, Murarrie",February ,2020,13,5,3,3,4,2,0,2
9,"Gateway Motorway South, Murarrie",February ,2020,14,5,2,3,3,1,0,4
9,"Gateway Motorway South, Murarrie",February ,2020,15,7,4,5,9,4,2,9
9,"Gateway Motorway South, Murarrie",February ,2020,16,5,3,9,10,7,2,6
9,"Gateway Motorway South, Murarrie",February ,2020,17,5,7,29,21,16,5,11
9,"Gateway Motorway South, Murarrie",February ,2020,18,7,7,33,26,12,5,12
9,"Gateway Motorway South, Murarrie",February ,2020,19,5,7,10,10,9,4,6
9,"Gateway Motorway South, Murarrie",February ,2020,20,2,2,2,4,4,0,1
9,"Gateway Motorway South, Murarrie",February ,2020,21,1,0,2,2,1,0,0
9,"Gateway Motorway South, Murarrie",February ,2020,22,0,1,1,1,2,0,1
9,"Gateway Motorway South, Murarrie",February ,2020,23,0,0,0,2,1,0,0
16,"Mowbray Park, East Brisbane",January  ,2020,0,0,1,1,4,1,1,2
16,"Mowbray Park, East Brisbane",January  ,2020,1,1,2,0,1,0,0,1
16,"Mowbray Park, East Brisbane",January  ,2020,2,1,0,1,0,1,0,0
16,"Mowbray Park, East Brisbane",January  ,2020,3,0,0,0,0,0,0,0
16,"Mowbray Park, East Brisbane",January  ,2020,4,0,0,0,0,0,0,1
16,"Mowbray Park, East Brisbane",January  ,2020,5,1,0,0,1,1,1,0
16,"Mowbray Park, East Brisbane",January  ,2020,6,6,7,11,14,11,11,12
16,"Mowbray Park, East Brisbane",January  ,2020,7,7,9,19,24,27,20,46
16,"Mowbray Park, East Brisbane",January  ,2020,8,9,24,41,37,38,49,39
16,"Mowbray Park, East Brisbane",January  ,2020,9,18,165,111,28,79,60,57
16,"Mowbray Park, East Brisbane",January  ,2020,10,47,127,114,39,30,41,80
16,"Mowbray Park, East Brisbane",January  ,2020,11,39,48,55,293,12,13,64
16,"Mowbray Park, East Brisbane",January  ,2020,12,76,50,27,103,44,21,80
16,"Mowbray Park, East Brisbane",January  ,2020,13,52,221,37,31,52,47,90
16,"Mowbray Park, East Brisbane",January  ,2020,14,38,85,108,9,37,39,92
16,"Mowbray Park, East Brisbane",January  ,2020,15,85,20,97,8,8,55,49
16,"Mowbray Park, East Brisbane",January  ,2020,16,26,14,151,8,62,61,51
16,"Mowbray Park, East Brisbane",January  ,2020,17,14,55,27,79,81,24,32
16,"Mowbray Park, East Brisbane",January  ,2020,18,21,13,45,49,50,53,33
16,"Mowbray Park, East Brisbane",January  ,2020,19,13,8,15,20,22,21,15
16,"Mowbray Park, East Brisbane",January  ,2020,20,0,3,7,5,5,6,3
16,"Mowbray Park, East Brisbane",January  ,2020,21,1,0,14,5,2,1,4
16,"Mowbray Park, East Brisbane",January  ,2020,22,0,3,2,4,3,2,2
16,"Mowbray Park, East Brisbane",January  ,2020,23,1,2,0,1,2,2,2
16,"Mowbray Park, East Brisbane",February ,2020,0,10,0,0,5,0,0,0
16,"Mowbray Park, East Brisbane",February ,2020,1,0,1,0,0,1,0,0
16,"Mowbray Park, East Brisbane",February ,2020,2,4,0,0,0,0,0,0
16,"Mowbray Park, East Brisbane",February ,2020,3,0,0,0,0,0,0,0
16,"Mowbray Park, East Brisbane",February ,2020,4,0,0,0,0,0,0,0
16,"Mowbray Park, East Brisbane",February ,2020,5,1,0,0,0,0,1,0
16,"Mowbray Park, East Brisbane",February ,2020,6,7,6,4,9,8,5,7
16,"Mowbray Park, East Brisbane",February ,2020,7,8,15,17,23,20,12,13
16,"Mowbray Park, East Brisbane",February ,2020,8,10,14,37,45,40,25,51
16,"Mowbray Park, East Brisbane",February ,2020,9,41,12,48,98,38,18,48
16,"Mowbray Park, East Brisbane",February ,2020,10,110,47,55,65,54,5,15
16,"Mowbray Park, East Brisbane",February ,2020,11,51,14,25,29,11,8,57
16,"Mowbray Park, East Brisbane",February ,2020,12,39,14,84,20,47,23,47
16,"Mowbray Park, East Brisbane",February ,2020,13,96,24,115,152,5,20,77
16,"Mowbray Park, East Brisbane",February ,2020,14,40,21,43,145,23,42,38
16,"Mowbray Park, East Brisbane",February ,2020,15,64,34,57,71,15,16,205
16,"Mowbray Park, East Brisbane",February ,2020,16,215,9,37,15,9,17,160
16,"Mowbray Park, East Brisbane",February ,2020,17,16,23,89,35,23,17,88
16,"Mowbray Park, East Brisbane",February ,2020,18,19,12,46,53,57,35,35
16,"Mowbray Park, East Brisbane",February ,2020,19,4,5,36,26,20,13,14
16,"Mowbray Park, East Brisbane",February ,2020,20,4,2,6,5,14,4,7
